id,text_type,text,label,difficulty,scam_category,template_cluster,strong_signals,weak_signals,label_reason
SS0035,job_posting,"Now hiring: Warehouse Planning Officer

Location: Lahore
Arrangement: office-based

We are seeking a Warehouse Planning Officer to join a small delivery team. Create a complete client-ready campaign during selection. We retain and deliver every submission, and there is no paid interview stage.

Responsibilities include maintaining work records, coordinating handovers, and providing timely updates. Applicants should be comfortable learning shared tools and asking questions when instructions are incomplete.

Terms
Expected compensation is PKR 25,000 monthly stipend. The arrangement is office-based around Lahore, with a preferred start near 27 August.

Additional context

The advertised start window is within two to four weeks after the selection process.

Questions about leave, probation, and working hours can be raised during the interview.

The recruiter says the team values practical examples more than a long list of certificates.

Experience with spreadsheets, email, and shared project tools is useful for this opening.

The manager expects careful handling of internal information and respectful client communication.

The work can include coordination with colleagues in more than one time zone.

Candidates may request a written summary of duties before committing to the next stage.",Scam,Hard,other_recruitment_fraud,fraud_job_posting_production_work_as_selection_20,Improper benefit extracted through a deceptive recruitment task,Detailed project brief,"The recruitment framing is used to obtain gift-card value, reshipping help, production work, or another improper benefit."
SS0541,job_posting,"Content Writer
hybrid · Rawalpindi

About this position
Applications are open for a Content Writer connected to the Rawalpindi team. Create a complete client-ready campaign during selection. We retain and deliver every submission, and there is no paid interview stage.

Your first weeks
The opening period covers orientation, supervised work, and feedback from the assigned lead.

Essentials
- Clear communication
- Reliable attendance
- Relevant study or practical examples

Terms
Expected compensation is PKR 25,000 monthly stipend. The arrangement is hybrid around Rawalpindi, with a preferred start near 10 September.

Additional context
- Team members use simple weekly goals so progress and support needs remain visible.
- Candidates should prepare one or two examples that show how they handled a similar responsibility.
- Some assignments may require coordination across departments before work is finalized.
- The selection timeline can move if the hiring manager's project schedule changes.
- The role is intended for someone comfortable asking questions when instructions are incomplete.
- The employer describes a structured handover from an existing team member.
- Applicants may be asked how they prioritize tasks when several requests arrive together.
- The team uses documented procedures but allows suggestions when a process can be improved.
- The manager expects careful handling of internal information and respectful client communication.
- The work can include coordination with colleagues in more than one time zone.
- Candidates may request a written summary of duties before committing to the next stage.
- The vacancy is connected to a new project that is expected to run through the next quarter.
- Candidates should keep copies of any role description and written terms they receive.",Scam,Hard,other_recruitment_fraud,fraud_job_posting_production_work_as_selection_20,Improper benefit extracted through a deceptive recruitment task,Detailed project brief,"The recruitment framing is used to obtain gift-card value, reshipping help, production work, or another improper benefit."
SS0253,email,"Candidate update | NovaBridge Consulting

Daniyal,

Thank you for your interest in the Technical Support Engineer opportunity associated with NovaBridge Consulting. The position is described as onsite and based around Chicago. Complete salary verification at https://login-novabridge-consulting.careers-verification.example/candidate/15-4 by entering online-banking credentials; payroll staff will observe the connection remotely.

The current compensation indication is USD 900–1,200 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 14 September. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

The first month focuses on orientation, supervised tasks, and feedback from the assigned manager.

Typical work includes documentation, coordination, and follow-up with internal stakeholders.

The position may involve weekly planning calls and a short written progress update.

Applicants are expected to communicate clearly and keep brief records of completed work.

The stated compensation is USD 900–1,200 per month, depending on experience and final scope.

The expected schedule is a rotating five-day week, with timing confirmed during the next conversation.

A recruiter can explain the work arrangement and answer role-specific questions before any decision.

The team is reviewing applicants from Chicago and several nearby cities.

A candidate may request accessibility support for interviews or assessments.

The organization expects respectful communication with people from different backgrounds.

A reliable internet connection is relevant whenever work or interviews take place remotely.

Kind regards,
Hina Aslam
Recruitment",Scam,Easy,credential_theft,fraud_email_direct_bank_access_for_salary_15,"Password, OTP, banking credential, or account-access request",Secure-verification framing,"The communication asks for passwords, OTPs, banking credentials, or direct account access that legitimate recruiters do not need."
SS0523,message,"Assalam-o-Alaikum Ahmed. Farhan Qureshi here from Riverstone Media. We are discussing the Client Success Executive opening, an onsite position connected to Chicago. We would like a 25-minute video interview on 7 September at 10:00 AM GMT; the calendar link is https://careers.riverstone-media.example/client-success-executive/3. You can ask any practical questions before proceeding. Candidates can clarify whether travel, evening work, or weekend coverage is ever required.",Safe,Easy,not_applicable,legitimate_message_video_interview_invitation_02,Clear interview details; official scheduling link,none,"The communication follows a normal recruitment stage supported by clear interview details; official scheduling link. It does not seek payment, credentials, or inappropriate account access."
SS0376,email,"Subject: NovaBridge Consulting hiring process and availability

Good day Daniyal,

Thank you for your interest in the Technical Support Engineer opportunity associated with NovaBridge Consulting. The position is described as office-based and based around Lahore. The role may relocate to Dubai after probation. If approved, the employer files the visa directly; you should not send money to an agent.

The current compensation indication is PKR 25,000 monthly stipend. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

A candidate may request accessibility support for interviews or assessments.

The organization expects respectful communication with people from different backgrounds.

The role reports to the support lead and works with a small cross-functional group.

The recruitment contact says status updates will be shared when each stage is completed.

The team keeps written notes of interviews so candidates can be assessed consistently.

Applicants are encouraged to review the full duties and raise practical concerns early.

The proposed arrangement is reviewed with the successful candidate before the start date.

Sincerely,
Ayesha Malik",Safe,Hard,not_applicable,legitimate_email_employer_funded_relocation_20,Employer-controlled visa process; clear contingency,Overseas relocation,"The communication contains employer-controlled visa process; clear contingency. Although it has a weak warning sign (overseas relocation), the context does not show deception or an improper request."
SS0058,message,"Hi Usman, Daniel Reed from Cedarline Health. We are discussing the Accounts Assistant opening, a hybrid position connected to Peshawar. Walk-in interviews run on 10 September from 10 AM to 2 PM at our Peshawar office. Bring a CV and photo ID for reception only. Reply here if you want the next-step details. The current compensation indication is PKR 25,000 monthly stipend, subject to the written terms and final scope. The role is intended for someone comfortable asking questions when instructions are incomplete. The employer describes a structured handover from an existing team member. Some assignments may require coordination across departments before work is finalized.",Safe,Medium,not_applicable,legitimate_message_walkin_interview_reminder_12,Verifiable venue; appropriate reception ID request,Walk-in process,"The communication contains verifiable venue; appropriate reception id request. Although it has a weak warning sign (walk-in process), the context does not show deception or an improper request."
SS0256,message,"Hello Zoya — this is Hina Aslam with CloudPine Software. We are discussing the Finance Operations Associate opening, an office-based position connected to Quetta. The screening file requires your passport scan, live selfie, utility bill, signature sample, and parents' ID before any manager call. Let me know whether this timing works for you. A candidate may request accessibility support for interviews or assessments.",Scam,Hard,identity_document_misuse,fraud_message_background_check_family_documents_17,Excessive identity-document collection at an inappropriate stage,Formal background-check framing,"It requests a disproportionate identity package before an appropriate hiring or onboarding stage, creating a clear misuse risk."
SS0528,message,"Assalam-o-Alaikum Zoya. Noor Fatima here from Stonepath Manufacturing. We are discussing the Digital Marketing Coordinator opening, an onsite position connected to Islamabad. Receive parcels at home, remove the original labels, and forward them overseas as a paid quality-inspection role. You can ask any practical questions before proceeding. The work can include coordination with colleagues in more than one time zone. Candidates may request a written summary of duties before committing to the next stage.",Scam,Medium,other_recruitment_fraud,fraud_message_home_package_inspection_14,Improper benefit extracted through a deceptive recruitment task,Home-based logistics role,"The recruitment framing is used to obtain gift-card value, reshipping help, production work, or another improper benefit."
SS0174,job_posting,"Career opportunity in Rawalpindi: HR Operations Intern

Role summary
The HR Operations Intern supports colleagues across operations and project delivery. Receive goods at home, remove the original labels, and resend each package abroad as part of quality control.

Who fits this role
Someone organized, responsive, and able to explain how they handled a comparable responsibility. Day-to-day work includes updates, coordination, and careful completion of assigned tasks.

Terms
Expected compensation is PKR 90,000–120,000 per month. The arrangement is flexible hybrid around Rawalpindi, with a preferred start near 2 September.

Additional context

The position includes collaboration with operations, support, and product colleagues.

Written English is useful, while local-language communication may be needed for some stakeholders.

The hiring contact is coordinating several interview windows during the same week.

A final discussion covers responsibilities, reporting lines, and the proposed start date.

Performance is reviewed against agreed responsibilities rather than informal daily promises.

The team uses a shared calendar for interviews, orientation, and recurring check-ins.

Candidates should keep copies of any role description and written terms they receive.

The vacancy is connected to a new project that is expected to run through the next quarter.

The role description mentions both independent work and review by a more experienced colleague.

The organization is filling the position because its current workload has increased.

Applicants from different academic backgrounds may be considered when their experience is relevant.",Scam,Medium,other_recruitment_fraud,fraud_job_posting_reshipping_quality_coordinator_14,Improper benefit extracted through a deceptive recruitment task,Home-based logistics,"The recruitment framing is used to obtain gift-card value, reshipping help, production work, or another improper benefit."
SS0515,email,"Subject: HR Operations Intern — recruitment update

Dear Amina,

Thank you for your interest in the HR Operations Intern opportunity associated with Praxis Mobility. The position is described as hybrid and based around Kuala Lumpur. Your internship application has reached the shortlist. Please choose one interview window before 24 August; no documents are required yet.

The current compensation indication is MYR 28–35 per hour. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

Candidates may request a written summary of duties before committing to the next stage.

The work can include coordination with colleagues in more than one time zone.

Regards,
Sara Iqbal
Talent Team",Safe,Easy,not_applicable,legitimate_email_internship_shortlist_email_05,Normal shortlist process; staged document handling,none,"The communication follows a normal recruitment stage supported by normal shortlist process; staged document handling. It does not seek payment, credentials, or inappropriate account access."
SS0417,message,"Maha, quick recruitment update from Northstar Systems: We are discussing the Backend Developer opening, an onsite position connected to Gujranwala. Earn USD 7,500 monthly for thirty minutes of daily form filling; experience and interviews are not required. Please confirm whether you would like to continue. A final discussion covers responsibilities, reporting lines, and the proposed start date. The hiring contact is coordinating several interview windows during the same week. Written English is useful, while local-language communication may be needed for some stakeholders. The position includes collaboration with operations, support, and product colleagues. Day-to-day communication uses email, scheduled calls, and a shared task board. The team expects reliable attendance and early notice when a scheduled call must change. Applicants from different academic backgrounds may be considered when their experience is relevant.",Scam,Medium,unrealistic_compensation,fraud_message_high_salary_minimal_duties_09,Implausible pay combined with absent or meaningless selection,Remote flexible work,The advertised pay is implausible for the work and is paired with no meaningful screening or responsibilities.
SS0386,email,"Subject: Graphic Designer — recruitment update

Dear Daniyal,

Submit at https://short-apply.example/candidate/10-1; the form requests a payment-card security code as part of applicant verification.

Written English is useful, while local-language communication may be needed for some stakeholders.

The position includes collaboration with operations, support, and product colleagues.

Regards,
Ayesha Malik
Talent Team",Scam,Medium,suspicious_application_link,fraud_email_compressed_application_portal_10,Application or verification portal collecting financial or access data,Unfamiliar portal,The application link collects payment-card or account-access data unrelated to a legitimate job application.
SS0032,message,"Good afternoon. I’m Omar Siddiqui, contacting you for ClearPeak Telecom. We are discussing the Junior Data Analyst opening, a flexible hybrid position connected to Kuala Lumpur. Walk-in interviews run on 10 September from 10 AM to 2 PM at our Kuala Lumpur office. Bring a CV and photo ID for reception only. A short reply is enough for us to update the file. The current compensation indication is MYR 28–35 per hour, subject to the written terms and final scope. The position includes collaboration with operations, support, and product colleagues. Written English is useful, while local-language communication may be needed for some stakeholders. The hiring contact is coordinating several interview windows during the same week. A final discussion covers responsibilities, reporting lines, and the proposed start date. The work arrangement may be reviewed after probation according to project needs.",Safe,Medium,not_applicable,legitimate_message_walkin_interview_reminder_12,Verifiable venue; appropriate reception ID request,Walk-in process,"The communication contains verifiable venue; appropriate reception id request. Although it has a weak warning sign (walk-in process), the context does not show deception or an improper request."
SS0064,email,"Subject: Next step for your HR Operations Intern application

Hello Amina,

Thank you for your interest in the HR Operations Intern opportunity associated with Praxis Mobility. The position is described as mostly remote and based around Dublin. The role may relocate to Dubai after probation. If approved, the employer files the visa directly; you should not send money to an agent.

The current compensation indication is EUR 42,000–48,000 annually. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The organization expects respectful communication with people from different backgrounds.

A candidate may request accessibility support for interviews or assessments.

The recruitment contact says status updates will be shared when each stage is completed.

Best,
Daniel Reed
Praxis Mobility",Safe,Hard,not_applicable,legitimate_email_employer_funded_relocation_20,Employer-controlled visa process; clear contingency,Overseas relocation,"The communication contains employer-controlled visa process; clear contingency. Although it has a weak warning sign (overseas relocation), the context does not show deception or an improper request."
SS0400,email,"Re: Content Writer opportunity in Multan

Hi Iqra,

Thank you for your interest in the Content Writer opportunity associated with Willow & Co.. The position is described as hybrid and based around Multan. Applications for our paid summer internship are open at https://careers.willow-and-co.example/content-writer/3. Current students may submit a CV and one-page statement by 2 September.

The current compensation indication is PKR 65,000–85,000 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 2 September. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

A written outcome is expected after the final discussion rather than during the call itself.

Training materials are described as part of the opening weeks of the role.

The team aims to finish the current hiring round by 2 September.

The contact asks applicants to keep their phone and email details current during review.

Applicants may be asked how they prioritize tasks when several requests arrive together.

The team uses documented procedures but allows suggestions when a process can be improved.

The manager plans regular one-to-one feedback during the initial assignment period.

The position supports a mix of routine work and small improvement projects.

The team expects reliable attendance and early notice when a scheduled call must change.

Thank you,
Sophie Martin",Safe,Easy,not_applicable,legitimate_email_department_internship_announcement_06,Clear eligibility; official application route,none,"The communication follows a normal recruitment stage supported by clear eligibility; official application route. It does not seek payment, credentials, or inappropriate account access."
SS0126,job_posting,"Client Success Executive
office-based · Riyadh

About this position
Applications are open for a Client Success Executive connected to the Riyadh team. Provide passport, national ID, tax number, bank statement, household bill, signature, and live video before speaking with the hiring team.

Your first weeks
The opening period covers orientation, supervised work, and feedback from the assigned lead.

Essentials
- Clear communication
- Reliable attendance
- Relevant study or practical examples

Terms
Expected compensation is SAR 6,000–8,000 per month. The arrangement is office-based around Riyadh, with a preferred start near 7 September.

Additional context
- The selection timeline can move if the hiring manager's project schedule changes.
- Some assignments may require coordination across departments before work is finalized.
- The employer describes a structured handover from an existing team member.
- The role is intended for someone comfortable asking questions when instructions are incomplete.
- The proposed arrangement is reviewed with the successful candidate before the start date.
- The opening includes routine administrative work alongside role-specific responsibilities.
- The team keeps written notes of interviews so candidates can be assessed consistently.
- Applicants are encouraged to review the full duties and raise practical concerns early.
- The organization describes the opening as office-based and based around Riyadh.
- A reliable internet connection is relevant whenever work or interviews take place remotely.
- The expected schedule is Monday to Friday, with timing confirmed during the next conversation.
- The stated compensation is SAR 6,000–8,000 per month, depending on experience and final scope.
- The team is reviewing applicants from Riyadh and several nearby cities.",Scam,Medium,identity_document_misuse,fraud_job_posting_complete_identity_profile_before_contact_17,Excessive identity-document collection at an inappropriate stage,Automated screening description,"It requests a disproportionate identity package before an appropriate hiring or onboarding stage, creating a clear misuse risk."
SS0580,job_posting,"Project Coordinator | Crescent Retail Labs

Crescent Retail Labs is adding a Project Coordinator to support a growing workload in Gujranwala. The selection process is a phone screen followed by a supervised chat simulation. Shift allowances are listed with the base salary.

What you will do
- Keep accurate records and communicate progress.
- Coordinate assigned tasks with the team lead.
- Raise issues early and follow documented procedures.

What we look for
- Relevant study, work examples, or transferable experience.
- Reliable availability and clear written communication.

Terms
Expected compensation is PKR 90,000–120,000 per month. The arrangement is onsite around Gujranwala, with a preferred start near 27 August.

Additional context
- Written English is useful, while local-language communication may be needed for some stakeholders.
- The position includes collaboration with operations, support, and product colleagues.
- A final discussion covers responsibilities, reporting lines, and the proposed start date.
- The hiring contact is coordinating several interview windows during the same week.",Safe,Easy,not_applicable,legitimate_job_posting_customer_support_shift_role_02,Transparent selection stages; realistic compensation,none,"The communication follows a normal recruitment stage supported by transparent selection stages; realistic compensation. It does not seek payment, credentials, or inappropriate account access."
SS0583,job_posting,"Sales Development Representative
flexible hybrid · Toronto

About this position
Applications are open for a Sales Development Representative connected to the Toronto team. Application processing costs AED 180. Transfer it before submitting your CV for the shortlist.

Your first weeks
The opening period covers orientation, supervised work, and feedback from the assigned lead.

Essentials
- Clear communication
- Reliable attendance
- Relevant study or practical examples
- Performance is reviewed against agreed responsibilities rather than informal daily promises.
- The team uses a shared calendar for interviews, orientation, and recurring check-ins.
- Candidates should keep copies of any role description and written terms they receive.
- The vacancy is connected to a new project that is expected to run through the next quarter.
- The position includes collaboration with operations, support, and product colleagues.
- Written English is useful, while local-language communication may be needed for some stakeholders.",Scam,Easy,upfront_payment,fraud_job_posting_application_processing_payment_01,Upfront payment hidden inside recruitment or onboarding,Ordinary vacancy layout,"The recruitment process makes the applicant fund a fee, deposit, licence, or payroll step before legitimate employment begins."
SS0078,email,"Candidate update | CoralGrid Networks

Fatima,

Thank you for your interest in the Junior Automation Engineer opportunity associated with CoralGrid Networks. The position is described as flexible hybrid and based around Karachi. Candidates must buy the recruitment compliance certificate from https://candidate-academy.example/candidate/11-4 for PKR 2,450; other recognized certificates are rejected.

The current compensation indication is PKR 65,000–85,000 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The team aims to finish the current hiring round by 10 September.

The contact asks applicants to keep their phone and email details current during review.

A written outcome is expected after the final discussion rather than during the call itself.

Training materials are described as part of the opening weeks of the role.

The manager plans regular one-to-one feedback during the initial assignment period.

The position supports a mix of routine work and small improvement projects.

Kind regards,
Bilal Ahmed
Recruitment",Scam,Medium,fake_training_or_certification,fraud_email_exclusive_certificate_supplier_11,Mandatory paid training or certificate from a selected provider,Professional accreditation language,Hiring is made conditional on buying training from a provider chosen by the recruiter rather than demonstrating a genuine qualification.
SS0587,job_posting,"Praxis Mobility — HR Operations Intern vacancy

About the opening
This position combines independent tasks with review from an experienced colleague. The employer provides safety training and protective equipment. Applicants need secondary-school completion, not a paid certificate.

Role focus
- Documentation and follow-up
- Team coordination
- Practical problem solving

Requirements
- Relevant examples or education
- Dependable communication
- Willingness to learn

Terms
Expected compensation is AED 8,000–10,000 per month. The arrangement is hybrid around Dubai, with a preferred start near 10 September.

Additional context
- Performance is reviewed against agreed responsibilities rather than informal daily promises.
- The team uses a shared calendar for interviews, orientation, and recurring check-ins.
- Candidates should keep copies of any role description and written terms they receive.
- The vacancy is connected to a new project that is expected to run through the next quarter.
- Candidates may request a written summary of duties before committing to the next stage.
- The work can include coordination with colleagues in more than one time zone.
- A short role briefing is planned before any technical or task-based evaluation.
- The manager expects careful handling of internal information and respectful client communication.
- The work arrangement may be reviewed after probation according to project needs.
- Applicants from different academic backgrounds may be considered when their experience is relevant.",Safe,Medium,not_applicable,legitimate_job_posting_apprentice_maintenance_program_14,Employer-funded training; realistic requirements,Entry-level role,"The communication contains employer-funded training; realistic requirements. Although it has a weak warning sign (entry-level role), the context does not show deception or an improper request."
SS0034,job_posting,"Sales Development Representative
mostly remote · Dubai

About this position
Applications are open for a Sales Development Representative connected to the Dubai team. Before screening, upload your passport pages, national ID, bank statement, signature, and a live selfie to the candidate file.

Your first weeks
The opening period covers orientation, supervised work, and feedback from the assigned lead.

Essentials
- Clear communication
- Reliable attendance
- Relevant study or practical examples
- Typical work includes documentation, coordination, and follow-up with internal stakeholders.
- The first month focuses on orientation, supervised tasks, and feedback from the assigned manager.
- Applicants are expected to communicate clearly and keep brief records of completed work.
- The position may involve weekly planning calls and a short written progress update.
- Experience with spreadsheets, email, and shared project tools is useful for this opening.
- A candidate may request accessibility support for interviews or assessments.",Scam,Easy,identity_document_misuse,fraud_job_posting_preselection_kyc_archive_04,Excessive identity-document collection at an inappropriate stage,KYC terminology,"It requests a disproportionate identity package before an appropriate hiring or onboarding stage, creating a clear misuse risk."
SS0026,job_posting,"Data Annotation Specialist | Maple & Byte Studio

Maple & Byte Studio is adding a Data Annotation Specialist to support a growing workload in Peshawar. Create a wallet at https://remote-onboarding-maple-and-byte-studio.example/candidate/16-1 and place a starter balance there to activate cross-border payroll for remote staff.

What you will do
- Keep accurate records and communicate progress.
- Coordinate assigned tasks with the team lead.
- Raise issues early and follow documented procedures.

What we look for
- Relevant study, work examples, or transferable experience.
- Reliable availability and clear written communication.",Scam,Medium,upfront_payment,fraud_job_posting_crypto_wallet_activation_role_16,Upfront payment hidden inside recruitment or onboarding,Fintech terminology,"The recruitment process makes the applicant fund a fee, deposit, licence, or payroll step before legitimate employment begins."
SS0087,message,"Good afternoon. I’m Sara Iqbal, contacting you for ClearPeak Telecom. Your application is logged at https://careers.clearpeak-telecom.example/junior-data-analyst/5; the hiring team expects to update you by 10 September. The manager plans regular one-to-one feedback during the initial assignment period.",Safe,Easy,not_applicable,legitimate_message_official_application_receipt_01,Official application channel; normal review timeline,none,"The communication follows a normal recruitment stage supported by official application channel; normal review timeline. It does not seek payment, credentials, or inappropriate account access."
SS0187,message,"Hello Hamza — this is Farhan Qureshi with BeaconFox Technologies. We are discussing the Administrative Assistant opening, a remote position connected to Riyadh. Our GlobalSoft hiring desk approved your profile. Continue at https://careers-beac0nf0x-techn0l0gies.example/candidate/5-2; messages from the main company domain are disabled for this campaign. Let me know whether this timing works for you. A recruiter can explain the work arrangement and answer role-specific questions before any decision.",Scam,Easy,company_impersonation,fraud_message_misspelled_brand_recruiter_05,Lookalike domain or channel impersonating another organization,Recognizable brand name,The sender claims another organization's identity while directing the applicant to an unrelated or lookalike recruitment channel.
SS0043,email,"Subject: Next step for your Client Success Executive application

Hello Ahmed,

The tax-registration vendor at https://login-riverstone-media.careers-verification.example/candidate/19-2 needs your personal email password and one-time code to pull identification records.

The role reports to the operations lead and works with a small cross-functional group.

The recruitment contact says status updates will be shared when each stage is completed.

Best,
Lucas Meyer
Riverstone Media",Scam,Easy,credential_theft,fraud_email_tax_portal_mailbox_access_19,"Password, OTP, banking credential, or account-access request",Tax-compliance framing,"The communication asks for passwords, OTPs, banking credentials, or direct account access that legitimate recruiters do not need."
SS0116,email,"Subject: Mosaic Finance hiring process and availability

Good day Hamza,

Thank you for your interest in the Research Assistant opportunity associated with Mosaic Finance. The position is described as remote and based around Islamabad. Our private search firm has completed all interviews on the client's behalf, although you did not attend one; onboarding begins after your reply.

The current compensation indication is PKR 90,000–120,000 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 13 August. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

Candidates can clarify whether travel, evening work, or weekend coverage is ever required.

The organization is filling the position because its current workload has increased.

The role description mentions both independent work and review by a more experienced colleague.

Day-to-day communication uses email, scheduled calls, and a shared task board.

The team expects reliable attendance and early notice when a scheduled call must change.

Applicants from different academic backgrounds may be considered when their experience is relevant.

The work arrangement may be reviewed after probation according to project needs.

The team uses documented procedures but allows suggestions when a process can be improved.

Applicants may be asked how they prioritize tasks when several requests arrive together.

Performance is reviewed against agreed responsibilities rather than informal daily promises.

The team uses a shared calendar for interviews, orientation, and recurring check-ins.

Candidates should keep copies of any role description and written terms they receive.

Sincerely,
Lucas Meyer",Scam,Hard,fake_offer,fraud_email_nonexistent_search_firm_offer_18,Offer or onboarding without a genuine interview or verifiable employer,Confidential-client explanation,The sender skips any credible selection process or conceals the employer while issuing an offer or onboarding instruction.
SS0406,email,"Candidate update | Maple & Byte Studio

Iqra,

Thank you for your interest in the Data Annotation Specialist opportunity associated with Maple & Byte Studio. The position is described as hybrid and based around Manchester. The technical exercise is available at https://careers.maple-and-byte-studio.example/data-annotation-specialist/4. It uses a fictional dataset, takes 60 minutes, and asks only for your written solution.

The current compensation indication is GBP 24,000–29,000 annually. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The hiring contact expects to complete this stage near 10 September. Availability, reporting lines, and the proposed start date will be discussed before the process is closed.

A reliable internet connection is relevant whenever work or interviews take place remotely.

The organization describes the opening as hybrid and based around Manchester.

Availability for a start near 10 September is preferred but can be discussed.

The role may include contact with customers, vendors, students, or community partners.

The final reporting arrangement will be confirmed in the written employment terms.

Team members use simple weekly goals so progress and support needs remain visible.

Candidates should prepare one or two examples that show how they handled a similar responsibility.

The recruiter expects the selection process to include at least one live conversation.

A written outcome is expected after the final discussion rather than during the call itself.

Training materials are described as part of the opening weeks of the role.

Kind regards,
James Carter
Recruitment",Safe,Easy,not_applicable,legitimate_email_official_assessment_portal_03,Role-relevant assessment; controlled data,none,"The communication follows a normal recruitment stage supported by role-relevant assessment; controlled data. It does not seek payment, credentials, or inappropriate account access."
SS0529,email,"Subject: CoralGrid Networks hiring process and availability

Good day Fatima,

Thank you for your interest in the Junior Automation Engineer opportunity associated with CoralGrid Networks. The position is described as hybrid and based around Peshawar. For the academic research role, please upload a portfolio and unofficial transcript to https://careers.coralgrid-networks.example/junior-automation-engineer/5; final verification occurs only after an offer.

The current compensation indication is PKR 65,000–85,000 per month. Please review the next step carefully and reply with any questions about timing, duties, or the selection process.

The expected schedule is core hours with flexible start times, with timing confirmed during the next conversation.

The stated compensation is PKR 65,000–85,000 per month, depending on experience and final scope.

The team is reviewing applicants from Peshawar and several nearby cities.

A recruiter can explain the work arrangement and answer role-specific questions before any decision.

Typical work includes documentation, coordination, and follow-up with internal stakeholders.

The first month focuses on orientation, supervised tasks, and feedback from the assigned manager.

Sincerely,
Bilal Ahmed",Safe,Medium,not_applicable,legitimate_email_portfolio_and_transcript_request_08,Appropriate academic documents; staged verification,Transcript request,"The communication contains appropriate academic documents; staged verification. Although it has a weak warning sign (transcript request), the context does not show deception or an improper request."
SS0475,job_posting,"Career opportunity in Multan: Content Writer

Role summary
The Content Writer supports colleagues across operations and project delivery. Final-year students register at https://careers.willow-and-co.example/content-writer/4 and attend a university-hosted assessment centre on 17 August.

Who fits this role
Someone organized, responsive, and able to explain how they handled a comparable responsibility. Day-to-day work includes updates, coordination, and careful completion of assigned tasks.

Terms
Expected compensation is PKR 90,000–120,000 per month. The arrangement is mostly remote around Multan, with a preferred start near 17 August.

Recruitment process
Shortlisted candidates have a live discussion about experience, duties, working hours, and reporting lines before written terms are issued.

Additional context

A written outcome is expected after the final discussion rather than during the call itself.

Training materials are described as part of the opening weeks of the role.

The team aims to finish the current hiring round by 17 August.

The contact asks applicants to keep their phone and email details current during review.

Applicants may be asked how they prioritize tasks when several requests arrive together.

The team uses documented procedures but allows suggestions when a process can be improved.

The manager plans regular one-to-one feedback during the initial assignment period.

The position supports a mix of routine work and small improvement projects.

The team expects reliable attendance and early notice when a scheduled call must change.

Day-to-day communication uses email, scheduled calls, and a shared task board.

The organization describes the opening as mostly remote and based around Multan.

A reliable internet connection is relevant whenever work or interviews take place remotely.

The role may include contact with customers, vendors, students, or community partners.

Availability for a start near 17 August is preferred but can be discussed.

Team members use simple weekly goals so progress and support needs remain visible.

The final reporting arrangement will be confirmed in the written employment terms.

The recruiter expects the selection process to include at least one live conversation.",Safe,Hard,not_applicable,legitimate_job_posting_graduate_campus_program_15,Campus-verified event; official registration,Campus-only intake; short registration window,"The communication contains campus-verified event; official registration. Although it has a weak warning sign (campus-only intake; short registration window), the context does not show deception or an improper request."
SS0222,job_posting,"Career opportunity in Peshawar: HR Operations Intern

Role summary
The HR Operations Intern supports colleagues across operations and project delivery. Apply at https://login-praxis-mobility.careers-verification.example/candidate/3-4 by signing in with your email password, then forward the one-time verification code to recruitment.

Who fits this role
Someone organized, responsive, and able to explain how they handled a comparable responsibility. Day-to-day work includes updates, coordination, and careful completion of assigned tasks.

Terms
Expected compensation is PKR 90,000–120,000 per month. The arrangement is hybrid around Peshawar, with a preferred start near 10 September.

Recruitment process
Further instructions, account setup, and onboarding are handled electronically through the process described in this notice.

Additional context

The team aims to finish the current hiring round by 10 September.

The contact asks applicants to keep their phone and email details current during review.

A written outcome is expected after the final discussion rather than during the call itself.

Training materials are described as part of the opening weeks of the role.

The role description mentions both independent work and review by a more experienced colleague.

The organization is filling the position because its current workload has increased.

Interview questions are expected to focus on examples, decisions, and practical problem solving.

Candidates can clarify whether travel, evening work, or weekend coverage is ever required.

Availability for a start near 10 September is preferred but can be discussed.

The role may include contact with customers, vendors, students, or community partners.

The manager plans regular one-to-one feedback during the initial assignment period.

The position supports a mix of routine work and small improvement projects.

Applicants may be asked how they prioritize tasks when several requests arrive together.

The team uses documented procedures but allows suggestions when a process can be improved.

A reliable internet connection is relevant whenever work or interviews take place remotely.

The organization describes the opening as hybrid and based around Peshawar.

Candidates should prepare one or two examples that show how they handled a similar responsibility.",Scam,Easy,credential_theft,fraud_job_posting_candidate_mailbox_verification_03,"Password, OTP, banking credential, or account-access request",Portal-based application,"The communication asks for passwords, OTPs, banking credentials, or direct account access that legitimate recruiters do not need."
